               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10952,             0.13095,            0.021407,             0.55988,            0.093568,            0.037651,           0.0095947,            0.093165,             0.13743,            0.010414,            0.070248,           0.0033058,           0.0033058
                   1,            0.085675,             0.15357,           0.0096262,             0.59946,             0.14504,             0.10815,            0.031785,            0.078879,             0.14273,           0.0065846,            0.040182,           0.0065734,           0.0065734
                   2,            0.080432,             0.15687,             0.00727,             0.18394,             0.33692,             0.13449,              0.0389,            0.075765,             0.13086,           0.0059236,             0.01005,            0.009775,            0.009775
                   3,            0.075534,             0.16175,           0.0061748,             0.25463,             0.33616,             0.21005,            0.060709,            0.071046,             0.13305,           0.0047011,            0.009703,            0.009703,            0.009703
                   4,            0.072608,              0.1577,           0.0056597,             0.29964,             0.33421,             0.24482,            0.075319,            0.066685,             0.13501,           0.0043559,            0.009703,            0.009703,            0.009703
                   5,            0.070561,             0.16314,           0.0054291,             0.35457,             0.33811,             0.27659,            0.084463,            0.066316,             0.13247,           0.0041342,            0.009604,            0.009604,            0.009604
                   6,             0.07004,             0.16339,           0.0049045,              0.3138,             0.36703,             0.25807,             0.07516,            0.067529,              0.1319,           0.0038611,            0.009505,            0.009505,            0.009505
                   7,            0.069205,             0.16238,           0.0049381,             0.35896,             0.35546,              0.2915,            0.090182,            0.064898,             0.13124,           0.0037268,            0.009406,            0.009406,            0.009406
                   8,            0.068945,             0.15981,           0.0048127,             0.36975,             0.37933,             0.30636,            0.095609,            0.064151,             0.13215,           0.0036473,            0.009307,            0.009307,            0.009307
                   9,            0.067883,             0.16066,           0.0046745,             0.38582,             0.36836,             0.30839,            0.098301,             0.06456,             0.13013,           0.0035557,            0.009208,            0.009208,            0.009208
                  10,             0.06759,             0.16041,           0.0046213,             0.37833,             0.37447,             0.30652,            0.097699,            0.063934,             0.13289,           0.0040833,            0.009109,            0.009109,            0.009109
                  11,            0.067503,             0.16111,            0.004625,             0.37124,             0.39313,             0.31997,            0.099028,            0.064548,              0.1338,           0.0037597,             0.00901,             0.00901,             0.00901
                  12,            0.067019,             0.16118,           0.0044464,             0.37942,              0.4188,             0.33426,             0.10661,            0.063469,             0.13149,           0.0033219,            0.008911,            0.008911,            0.008911
                  13,             0.06689,             0.16156,           0.0042975,             0.39883,             0.40775,             0.34307,             0.11119,            0.062296,             0.13065,           0.0033013,            0.008812,            0.008812,            0.008812
                  14,            0.066386,             0.16338,           0.0042089,             0.43493,             0.38921,             0.34773,             0.11267,             0.06262,             0.13097,           0.0033117,            0.008713,            0.008713,            0.008713
